nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   3200 | loss 0.7525 | mse 0.0006 | kl 18.292763 | act 0.5578 | zero 0.0102 | opp 0.1753 (margin 0.000, anchors 4.1) | lr 3.09e-06
step   3250 | loss 0.8200 | mse 0.0008 | kl 26.004431 | act 0.6241 | zero 0.0056 | opp 0.1493 (margin 0.011, anchors 3.7) | lr 2.94e-06
step   3300 | loss 0.8434 | mse 0.0006 | kl 21.069319 | act 0.6619 | zero 0.0113 | opp 0.1487 (margin 0.052, anchors 4.0) | lr 2.79e-06
step   3350 | loss 1.0178 | mse 0.0008 | kl 26.365869 | act 0.7870 | zero 0.0091 | opp 0.1912 (margin -0.017, anchors 4.6) | lr 2.64e-06
step   3400 | loss 0.8594 | mse 0.0007 | kl 21.800532 | act 0.6491 | zero 0.0062 | opp 0.1825 (margin -0.010, anchors 4.0) | lr 2.50e-06
step   3450 | loss 0.8532 | mse 0.0007 | kl 23.738744 | act 0.6601 | zero 0.0043 | opp 0.1543 (margin 0.007, anchors 4.7) | lr 2.36e-06
step   3500 | loss 1.0140 | mse 0.0007 | kl 28.797830 | act 0.8016 | zero 0.0039 | opp 0.1602 (margin 0.013, anchors 4.2) | lr 2.22e-06
[val] step   3500 | loss 0.0880 | mse 0.0006 | psnr 32.18 dB
step   3550 | loss 0.9028 | mse 0.0007 | kl 25.393303 | act 0.7041 | zero 0.0116 | opp 0.1542 (margin 0.003, anchors 4.2) | lr 2.09e-06
step   3600 | loss 0.9008 | mse 0.0007 | kl 27.619059 | act 0.6834 | zero 0.0090 | opp 0.1700 (margin 0.027, anchors 3.9) | lr 1.96e-06
step   3650 | loss 1.0410 | mse 0.0006 | kl 24.056356 | act 0.8578 | zero 0.0035 | opp 0.1410 (margin -0.012, anchors 4.2) | lr 1.83e-06
step   3700 | loss 0.6765 | mse 0.0006 | kl 21.423757 | act 0.4959 | zero 0.0030 | opp 0.1472 (margin 0.049, anchors 3.7) | lr 1.70e-06
